id,class
10263,GALAXY
10264,GALAXY
10265,GALAXY
10266,GALAXY
10267,GALAXY
10268,GALAXY
10269,GALAXY
10270,GALAXY
10271,GALAXY
10272,GALAXY
10273,GALAXY
10274,GALAXY
10275,GALAXY
10276,GALAXY
10277,GALAXY
10278,GALAXY
10279,GALAXY
10280,GALAXY
10281,GALAXY
10282,GALAXY
10283,GALAXY
10284,GALAXY
10285,GALAXY
10286,GALAXY
10287,GALAXY
10288,GALAXY
10289,GALAXY
10290,GALAXY
10291,GALAXY
10292,GALAXY
10293,GALAXY
10294,GALAXY
10295,GALAXY
10296,GALAXY
10297,GALAXY
10298,GALAXY
10299,GALAXY
10300,GALAXY
10301,GALAXY
10302,GALAXY
10303,GALAXY
10304,GALAXY
10305,GALAXY
10306,GALAXY
10307,GALAXY
10308,GALAXY
10309,GALAXY
10310,GALAXY
10311,GALAXY
10312,GALAXY
10313,GALAXY
10314,GALAXY
10315,GALAXY
10316,GALAXY
10317,GALAXY
10318,GALAXY
10319,GALAXY
10320,GALAXY
10321,GALAXY
10322,GALAXY
10323,GALAXY
10324,GALAXY
10325,GALAXY
10326,GALAXY
10327,GALAXY
10328,GALAXY
10329,GALAXY
10330,GALAXY
10331,GALAXY
10332,GALAXY
10333,GALAXY
10334,GALAXY
10335,GALAXY
10336,GALAXY
10337,GALAXY
10338,GALAXY
10339,GALAXY
10340,GALAXY
10341,GALAXY
10342,GALAXY
10343,GALAXY
10344,GALAXY
10345,GALAXY
10346,GALAXY
10347,GALAXY
10348,GALAXY
10349,GALAXY
10350,GALAXY
10351,GALAXY
10352,GALAXY
10353,GALAXY
10354,GALAXY
10355,GALAXY
10356,GALAXY
10357,GALAXY
10358,GALAXY
10359,GALAXY
10360,GALAXY
10361,GALAXY
10362,GALAXY
10363,GALAXY
10364,GALAXY
10365,GALAXY
10366,GALAXY
10367,GALAXY
10368,GALAXY
10369,GALAXY
10370,GALAXY
10371,GALAXY
10372,GALAXY
10373,GALAXY
10374,GALAXY
10375,GALAXY
10376,GALAXY
10377,GALAXY
10378,GALAXY
10379,GALAXY
10380,GALAXY
10381,GALAXY
10382,GALAXY
10383,GALAXY
10384,GALAXY
10385,GALAXY
10386,GALAXY
10387,GALAXY
10388,GALAXY
10389,GALAXY
10390,GALAXY
10391,GALAXY
10392,GALAXY
10393,GALAXY
10394,GALAXY
10395,GALAXY
10396,GALAXY
10397,GALAXY
10398,GALAXY
10399,GALAXY
10400,GALAXY
10401,GALAXY
10402,GALAXY
10403,GALAXY
10404,GALAXY
10405,GALAXY
10406,GALAXY
10407,GALAXY
10408,GALAXY
10409,GALAXY
10410,GALAXY
10411,GALAXY
10412,GALAXY
10413,GALAXY
10414,GALAXY
10415,GALAXY
10416,GALAXY
10417,GALAXY
10418,GALAXY
10419,GALAXY
10420,GALAXY
10421,GALAXY
10422,GALAXY
10423,GALAXY
10424,GALAXY
10425,GALAXY
10426,GALAXY
10427,GALAXY
10428,GALAXY
10429,GALAXY
10430,GALAXY
10431,GALAXY
10432,GALAXY
10433,GALAXY
10434,GALAXY
10435,GALAXY
10436,GALAXY
10437,GALAXY
10438,GALAXY
10439,GALAXY
10440,GALAXY
10441,GALAXY
10442,GALAXY
10443,GALAXY
10444,GALAXY
10445,GALAXY
10446,GALAXY
10447,GALAXY
10448,GALAXY
10449,GALAXY
10450,GALAXY
10451,GALAXY
10452,GALAXY
10453,GALAXY
10454,GALAXY
10455,GALAXY
10456,GALAXY
10457,GALAXY
10458,GALAXY
10459,GALAXY
10460,GALAXY
10461,GALAXY
10462,GALAXY
10463,GALAXY
10464,GALAXY
10465,GALAXY
10466,GALAXY
10467,GALAXY
10468,GALAXY
10469,GALAXY
10470,GALAXY
10471,GALAXY
10472,GALAXY
10473,GALAXY
10474,GALAXY
10475,GALAXY
10476,GALAXY
10477,GALAXY
10478,GALAXY
10479,GALAXY
10480,GALAXY
10481,GALAXY
10482,GALAXY
10483,GALAXY
10484,GALAXY
10485,GALAXY
10486,GALAXY
10487,GALAXY
10488,GALAXY
10489,GALAXY
10490,GALAXY
10491,GALAXY
10492,GALAXY
10493,GALAXY
10494,GALAXY
10495,GALAXY
10496,GALAXY
10497,GALAXY
10498,GALAXY
10499,GALAXY
10500,GALAXY
10501,GALAXY
10502,GALAXY
10503,GALAXY
10504,GALAXY
10505,GALAXY
10506,GALAXY
10507,GALAXY
10508,GALAXY
10509,GALAXY
10510,GALAXY
10511,GALAXY
10512,GALAXY
10513,GALAXY
10514,GALAXY
10515,GALAXY
10516,GALAXY
10517,GALAXY
10518,GALAXY
10519,GALAXY
10520,GALAXY
10521,GALAXY
10522,GALAXY
10523,GALAXY
10524,GALAXY
10525,GALAXY
10526,GALAXY
10527,GALAXY
10528,GALAXY
10529,GALAXY
10530,GALAXY
10531,GALAXY
10532,GALAXY
10533,GALAXY
10534,GALAXY
10535,GALAXY
10536,GALAXY
10537,GALAXY
10538,GALAXY
10539,GALAXY
10540,GALAXY
10541,GALAXY
10542,GALAXY
10543,GALAXY
10544,GALAXY
10545,GALAXY
10546,GALAXY
10547,GALAXY
10548,GALAXY
10549,GALAXY
10550,GALAXY
10551,GALAXY
10552,GALAXY
10553,GALAXY
10554,GALAXY
10555,GALAXY
10556,GALAXY
10557,GALAXY
10558,GALAXY
10559,GALAXY
10560,GALAXY
10561,GALAXY
10562,GALAXY
10563,GALAXY
10564,GALAXY
10565,GALAXY
10566,GALAXY
10567,GALAXY
10568,GALAXY
10569,GALAXY
10570,GALAXY
10571,GALAXY
10572,GALAXY
10573,GALAXY
10574,GALAXY
